"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
7 Apr 2030 11:48:05.826,7 Apr 2030 11:48:12.262,7 Apr 2030 12:23:04.150,7 Apr 2030 12:23:14.556,"Jupiter",2108.730,100.000000,7 Apr 2030 11:48:12.262
10 Apr 2030 08:09:48.706,N/A,N/A,10 Apr 2030 08:10:31.122,"Europa",42.416,8.885869,10 Apr 2030 08:10:08.234
10 Apr 2030 09:47:40.875,10 Apr 2030 09:47:47.458,10 Apr 2030 10:23:17.081,10 Apr 2030 10:23:27.728,"Jupiter",2146.854,100.000000,10 Apr 2030 09:47:47.458
13 Apr 2030 07:47:16.994,13 Apr 2030 07:47:23.731,13 Apr 2030 08:23:32.282,13 Apr 2030 08:23:43.179,"Jupiter",2186.186,100.000000,13 Apr 2030 07:47:23.731
16 Apr 2030 05:46:54.221,16 Apr 2030 05:47:01.118,16 Apr 2030 06:23:49.870,16 Apr 2030 06:24:01.026,"Jupiter",2226.805,100.000000,16 Apr 2030 05:47:01.118
19 Apr 2030 03:46:32.584,19 Apr 2030 03:46:39.646,19 Apr 2030 04:24:09.967,19 Apr 2030 04:24:21.391,"Jupiter",2268.806,100.000000,19 Apr 2030 03:46:39.646
22 Apr 2030 01:46:12.114,22 Apr 2030 01:46:19.346,22 Apr 2030 02:24:32.693,22 Apr 2030 02:24:44.394,"Jupiter",2312.280,100.000000,22 Apr 2030 01:46:19.346
24 Apr 2030 23:45:52.840,24 Apr 2030 23:46:00.248,25 Apr 2030 00:24:58.183,25 Apr 2030 00:25:10.171,"Jupiter",2357.331,100.000000,24 Apr 2030 23:46:00.248
27 Apr 2030 21:45:34.793,27 Apr 2030 21:45:42.386,27 Apr 2030 22:25:26.580,27 Apr 2030 22:25:38.865,"Jupiter",2404.072,100.000000,27 Apr 2030 21:45:42.386
30 Apr 2030 19:45:18.005,30 Apr 2030 19:45:25.783,30 Apr 2030 20:25:58.023,30 Apr 2030 20:26:10.614,"Jupiter",2452.610,100.000000,30 Apr 2030 19:45:25.783
