"Time (UTCG)","x (km)","y (km)","z (km)"
6 Jan 2032 15:09:58.699,-142039052.073555,703192231.573232,304828223.750109
6 Jan 2032 16:09:58.699,-142091589.427590,703147140.427118,304808122.239204
6 Jan 2032 17:09:58.699,-142142703.140433,703101835.418130,304787943.009250
6 Jan 2032 18:09:58.699,-142192385.932741,703056363.820866,304767708.851225
6 Jan 2032 19:09:58.699,-142240632.469559,703010773.134259,304747442.629915
6 Jan 2032 20:09:58.699,-142287439.367684,702965111.016046,304727167.252371
6 Jan 2032 21:09:58.699,-142332805.200234,702919425.217036,304706905.636314
6 Jan 2032 22:09:58.699,-142376730.498438,702873763.515244,304686680.678527
6 Jan 2032 23:09:58.699,-142419217.750646,702828173.650015,304666515.223292
7 Jan 2032 00:09:58.699,-142460271.399072,702782703.257550,304646432.031528
7 Jan 2032 01:09:58.699,-142499897.829829,702737399.796695,304626453.745401
7 Jan 2032 02:09:58.699,-142538105.371647,702692310.503113,304606602.866353
7 Jan 2032 03:09:58.699,-142574904.275877,702647482.307502,304586901.716265
7 Jan 2032 04:09:58.699,-142610306.703049,702602961.770175,304567372.406311
7 Jan 2032 05:09:58.699,-142644326.707963,702558795.025355,304548036.810516
7 Jan 2032 06:09:58.699,-142676980.218534,702515027.716948,304528916.535332
7 Jan 2032 07:09:58.699,-142708285.012347,702471704.934145,304510032.889175
7 Jan 2032 08:09:58.699,-142738260.691225,702428871.149041,304491406.852957
7 Jan 2032 09:09:58.699,-142766928.653351,702386570.156048,304473059.051525
7 Jan 2032 10:09:58.699,-142794312.062713,702344845.012363,304455009.725651
7 Jan 2032 11:09:58.699,-142820435.816032,702303737.979046,304437278.704362
7 Jan 2032 12:09:58.699,-142845326.507525,702263290.462733,304419885.377607
7 Jan 2032 13:09:58.699,-142869012.391837,702223542.958299,304402848.669403
7 Jan 2032 14:09:58.699,-142891523.345194,702184534.992975,304386187.011717
7 Jan 2032 15:09:58.699,-142912890.824703,702146305.072304,304369918.319248
7 Jan 2032 16:09:58.699,-142933147.825500,702108890.628183,304354059.965252
7 Jan 2032 17:09:58.699,-142952328.835474,702072327.969034,304338628.758439
7 Jan 2032 18:09:58.699,-142970469.787389,702036652.232000,304323640.920878
7 Jan 2032 19:09:58.699,-142987608.008400,702001897.336981,304309112.066845
7 Jan 2032 20:09:58.699,-143003782.167164,701968095.942311,304295057.182492
7 Jan 2032 21:09:58.699,-143019032.218879,701935279.401979,304281490.606307
7 Jan 2032 22:09:58.699,-143033399.348647,701903477.724353,304268426.010308
7 Jan 2032 23:09:58.699,-143046925.913490,701872719.532522,304255876.382043
8 Jan 2032 00:09:58.699,-143059655.383243,701843032.026397,304243854.007448
8 Jan 2032 01:09:58.699,-143071632.280360,701814440.946769,304232370.454663
8 Jan 2032 02:09:58.699,-143082902.118587,701786970.541485,304221436.558871
8 Jan 2032 03:09:58.699,-143093511.340380,701760643.533832,304211062.408231
8 Jan 2032 04:09:58.699,-143103507.253051,701735481.093156,304201257.330900
8 Jan 2032 05:09:58.699,-143112937.963751,701711502.807696,304192029.883135
8 Jan 2032 06:09:58.699,-143121852.313594,701688726.659579,304183387.838450
8 Jan 2032 07:09:58.699,-143130299.811206,701667169.001970,304175338.177810
8 Jan 2032 08:09:58.699,-143138330.565836,701646844.538491,304167887.080924
8 Jan 2032 09:09:58.699,-143145995.219629,701627766.305055,304161039.918703
8 Jan 2032 10:09:58.699,-143153344.878161,701609945.654285,304154801.247005
8 Jan 2032 11:09:58.699,-143160431.038283,701593392.242517,304149174.801674
8 Jan 2032 12:09:58.699,-143167305.516904,701578114.018493,304144163.494364
8 Jan 2032 13:09:58.699,-143174020.402673,701564117.210986,304139769.407299
8 Jan 2032 14:09:58.699,-143180627.953774,701551406.328119,304135993.794939
8 Jan 2032 15:09:58.699,-143187180.547094,701539984.149451,304132837.080936
8 Jan 2032 16:09:58.699,-143193730.603719,701529851.724908,304130298.858942
8 Jan 2032 17:09:58.699,-143200330.518805,701521008.375319,304128377.894086
8 Jan 2032 18:09:58.699,-143207032.591647,701513451.695159,304127072.125500
8 Jan 2032 19:09:58.699,-143213888.956032,701507177.557589,304126378.669947
8 Jan 2032 20:09:58.699,-143220951.510951,701502180.121787,304126293.826534
8 Jan 2032 21:09:58.699,-143228271.851773,701498451.842543,304126813.082510
8 Jan 2032 22:09:58.699,-143235901.201964,701495983.482098,304127931.120129
8 Jan 2032 23:09:58.699,-143243890.345442,701494764.124194,304129641.824553
9 Jan 2032 00:09:58.699,-143252289.559653,701494781.190302,304131938.292803
9 Jan 2032 01:09:58.699,-143261148.549455,701496020.458010,304134812.843716
9 Jan 2032 02:09:58.699,-143270516.381893,701498466.081531,304138257.028911
9 Jan 2032 03:09:58.699,-143280441.421939,701502100.614302,304142261.644740
9 Jan 2032 04:09:58.699,-143290971.269293,701506905.033635,304146816.745204
9 Jan 2032 05:09:58.699,-143302152.696294,701512858.767377,304151911.655811
9 Jan 2032 06:09:58.699,-143314031.587054,701519939.722537,304157534.988358
9 Jan 2032 07:09:58.699,-143326652.877857,701528124.315841,304163674.656614
9 Jan 2032 08:09:58.699,-143340060.498915,701537387.506168,304170317.892883
9 Jan 2032 09:09:58.699,-143354297.317538,701547702.828813,304177451.265416
9 Jan 2032 10:09:58.699,-143369405.082794,701559042.431548,304185060.696660
9 Jan 2032 11:09:58.699,-143385424.371723,701571377.112406,304193131.482309
9 Jan 2032 12:09:58.699,-143402394.537160,701584676.359158,304201648.311132
9 Jan 2032 13:09:58.699,-143420353.657235,701598908.390422,304210595.285560
9 Jan 2032 14:09:58.699,-143439338.486605,701614040.198353,304219955.943000
9 Jan 2032 15:09:58.699,-143459384.409450,701630037.592876,304229713.277854
9 Jan 2032 16:09:58.699,-143480525.394283,701646865.247393,304239849.764218
9 Jan 2032 17:09:58.699,-143502793.950567,701664486.745942,304250347.379238
9 Jan 2032 18:09:58.699,-143526221.087155,701682864.631714,304261187.627097
9 Jan 2032 19:09:58.699,-143550836.272502,701701960.456873,304272351.563579
9 Jan 2032 20:09:58.699,-143576667.396628,701721734.833547,304283819.821178
9 Jan 2032 21:09:58.699,-143603740.734777,701742147.485838,304295572.634656
9 Jan 2032 22:09:58.699,-143632080.912812,701763157.302649,304307589.866970
9 Jan 2032 23:09:58.699,-143661710.874484,701784722.391128,304319851.035464
10 Jan 2032 00:09:58.699,-143692651.851152,701806800.130591,304332335.338245
10 Jan 2032 01:09:58.699,-143724923.335522,701829347.226791,304345021.680675
10 Jan 2032 02:09:58.699,-143758543.056209,701852319.768345,304357888.702864
10 Jan 2032 03:09:58.699,-143793526.957136,701875673.282919,304370914.806971
10 Jan 2032 04:09:58.699,-143829889.178573,701899362.795304,304384078.185382
10 Jan 2032 05:09:58.699,-143867642.040546,701923342.886767,304397356.849444
10 Jan 2032 06:09:58.699,-143906796.028013,701947567.754779,304410728.658361
10 Jan 2032 07:09:58.699,-143947359.777973,701971991.273126,304424171.348226
10 Jan 2032 08:09:58.699,-143989340.068622,701996567.052303,304437662.561159
10 Jan 2032 09:09:58.699,-144032741.810679,702021248.500102,304451179.874506
10 Jan 2032 10:09:58.699,-144077568.040987,702045988.882318,304464700.830044
10 Jan 2032 11:09:58.699,-144123819.918433,702070741.383527,304478202.963192
10 Jan 2032 12:09:58.699,-144171496.722255,702095459.167896,304491663.832190
10 Jan 2032 13:09:58.699,-144220595.852738,702120095.439996,304505061.047238
10 Jan 2032 14:09:58.699,-144271112.834319,702144603.505558,304518372.299569
10 Jan 2032 15:09:58.699,-144323041.321077,702168936.832124,304531575.390424
10 Jan 2032 16:09:58.699,-144376373.104629,702193049.109530,304544648.259914
10 Jan 2032 17:09:58.699,-144431098.124390,702216894.310150,304557569.015717
10 Jan 2032 18:09:58.699,-144487204.480190,702240426.748840,304570315.961593
10 Jan 2032 19:09:58.699,-144544678.447232,702263601.142525,304582867.625691
10 Jan 2032 20:09:58.699,-144603504.493356,702286372.669361,304595202.788608
10 Jan 2032 21:09:58.699,-144663665.298555,702308697.027420,304607300.511187
10 Jan 2032 22:09:58.699,-144725141.776718,702330530.492830,304619140.162012
10 Jan 2032 23:09:58.699,-144787913.099525,702351829.977288,304630701.444577
11 Jan 2032 00:09:58.699,-144851956.722451,702372553.084846,304641964.424069
11 Jan 2032 01:09:58.699,-144917248.412844,702392658.167874,304652909.553731
11 Jan 2032 02:09:58.699,-144983762.280039,702412104.382053,304663517.700722
11 Jan 2032 03:09:58.699,-145051470.807538,702430851.740303,304673770.171446
11 Jan 2032 04:09:58.699,-145120344.887281,702448861.165503,304683648.736257
11 Jan 2032 05:09:58.699,-145190353.856054,702466094.541949,304693135.653513
11 Jan 2032 06:09:58.699,-145261465.534119,702482514.765463,304702213.692953
11 Jan 2032 07:09:58.699,-145333646.266062,702498085.792179,304710866.158373
11 Jan 2032 08:09:58.699,-145406860.963882,702512772.686002,304719076.909621
11 Jan 2032 09:09:58.699,-145481073.152167,702526541.664793,304726830.383946
11 Jan 2032 10:09:58.699,-145556245.015180,702539360.145296,304734111.616694
11 Jan 2032 11:09:58.699,-145632337.445637,702551196.786767,304740906.261368
11 Jan 2032 12:09:58.699,-145709310.096377,702562021.532304,304747200.608538
11 Jan 2032 13:09:58.699,-145787121.427031,702571805.654251,304752981.606703
11 Jan 2032 14:09:58.699,-145865728.772016,702580521.782070,304758236.874573
11 Jan 2032 15:09:58.699,-145945088.383106,702588143.950370,304762954.723284
11 Jan 2032 16:09:58.699,-146025155.485400,702594647.633914,304767124.172211
11 Jan 2032 17:09:58.699,-146105884.342274,702600009.777091,304770734.961971
11 Jan 2032 18:09:58.699,-146187228.314111,702604208.826924,304773777.569232
11 Jan 2032 19:09:58.699,-146269139.917617,702607224.764155,304776243.220578
11 Jan 2032 20:09:58.699,-146351570.887354,702609039.131517,304778123.905000
11 Jan 2032 21:09:58.699,-146434472.239173,702609635.059602,304779412.385197
11 Jan 2032 22:09:58.699,-146517794.334874,702608997.290736,304780102.207897
11 Jan 2032 23:09:58.699,-146601486.947670,702607112.200938,304780187.713254
12 Jan 2032 00:09:58.699,-146685499.328355,702603967.819823,304779664.043243
12 Jan 2032 01:09:58.699,-146769780.272285,702599553.848302,304778527.148981
12 Jan 2032 02:09:58.699,-146854278.187278,702593861.674038,304776773.796961
12 Jan 2032 03:09:58.699,-146938941.162452,702586884.384726,304774401.574224
12 Jan 2032 04:09:58.699,-147023717.037869,702578616.779377,304771408.892567
12 Jan 2032 05:09:58.699,-147108553.474725,702569055.377699,304767794.991830
12 Jan 2032 06:09:58.699,-147193398.025758,702558198.427611,304763559.942276
12 Jan 2032 07:09:58.699,-147278198.205636,702546045.910724,304758704.646013
12 Jan 2032 08:09:58.699,-147362901.561079,702532599.545511,304753230.837299
12 Jan 2032 09:09:58.699,-147447455.740694,702517862.787855,304747141.081598
12 Jan 2032 10:09:58.699,-147531808.564559,702501840.828669,304740438.773226
12 Jan 2032 11:09:58.699,-147615908.093708,702484540.588475,304733128.131541
12 Jan 2032 12:09:58.699,-147699702.699631,702465970.709000,304725214.195704
12 Jan 2032 13:09:58.699,-147783141.133898,702446141.542055,304716702.818124
12 Jan 2032 14:09:58.699,-147866172.597844,702425065.136065,304707600.656792
12 Jan 2032 15:09:58.699,-147948746.812162,702402755.220622,304697915.166658
12 Jan 2032 16:09:58.699,-148030814.086110,702379227.189218,304687654.590160
12 Jan 2032 17:09:58.699,-148112325.386021,702354498.080120,304676827.946866
12 Jan 2032 18:09:58.699,-148193232.402815,702328586.555068,304665445.022091
12 Jan 2032 19:09:58.699,-148273487.618393,702301512.875417,304653516.354314
12 Jan 2032 20:09:58.699,-148353044.370938,702273298.875651,304641053.221337
12 Jan 2032 21:09:58.699,-148431856.919309,702243967.934764,304628067.625447
12 Jan 2032 22:09:58.699,-148509880.506716,702213544.946779,304614572.278188
12 Jan 2032 23:09:58.699,-148587071.423519,702182056.291733,304600580.585383
13 Jan 2032 00:09:58.699,-148663387.067601,702149529.803123,304586106.630493
13 Jan 2032 01:09:58.699,-148738785.998135,702115994.705878,304571165.143772
13 Jan 2032 02:09:58.699,-148813228.002062,702081481.615061,304555771.500750
13 Jan 2032 03:09:58.699,-148886674.144530,702046022.472586,304539941.690867
13 Jan 2032 04:09:58.699,-148959086.824418,702009650.509558,304523692.298481
13 Jan 2032 05:09:58.699,-149030429.826826,701972400.201711,304507040.480603
13 Jan 2032 06:09:58.699,-149100668.373672,701934307.223035,304490003.943776
13 Jan 2032 07:09:58.699,-149169769.172349,701895408.397637,304472600.920162
13 Jan 2032 08:09:58.699,-149237700.462346,701855741.649936,304454850.142844
13 Jan 2032 09:09:58.699,-149304432.059761,701815345.953226,304436770.820405
13 Jan 2032 10:09:58.699,-149369935.399647,701774261.276722,304418382.610793
13 Jan 2032 11:09:58.699,-149434183.576109,701732528.531122,304399705.594537
13 Jan 2032 12:09:58.699,-149497151.380098,701690189.512797,304380760.247325
13 Jan 2032 13:09:58.699,-149558815.334837,701647286.846673,304361567.412013
13 Jan 2032 14:09:58.699,-149619153.728821,701603863.927895,304342148.270078
13 Jan 2032 15:09:58.699,-149678146.646346,701559964.862357,304322524.312579
13 Jan 2032 16:09:58.699,-149735775.995509,701515634.406184,304302717.310658
13 Jan 2032 17:09:58.699,-149792025.533637,701470917.904258,304282749.285624
13 Jan 2032 18:09:58.699,-149846880.890106,701425861.227886,304262642.478674
13 Jan 2032 19:09:58.699,-149900329.586513,701380510.711682,304242419.320282
13 Jan 2032 20:09:58.699,-149952361.054165,701334913.089784,304222102.399317
13 Jan 2032 21:09:58.699,-150002966.648861,701289115.431485,304201714.431926
13 Jan 2032 22:09:58.699,-150052139.662941,701243165.076378,304181278.230231
13 Jan 2032 23:09:58.699,-150099875.334584,701197109.569119,304160816.670891
14 Jan 2032 00:09:58.699,-150146170.854336,701150996.593894,304140352.663571
14 Jan 2032 01:09:58.699,-150191025.368859,701104873.908703,304119909.119372
14 Jan 2032 02:09:58.699,-150234439.981903,701058789.279552,304099508.919265
14 Jan 2032 03:09:58.699,-150276417.752475,701012790.414653,304079174.882572
14 Jan 2032 04:09:58.699,-150316963.690237,700966924.898735,304058929.735558
14 Jan 2032 05:09:58.699,-150356084.748112,700921240.127551,304038796.080164
14 Jan 2032 06:09:58.699,-150393789.812121,700875783.242697,304018796.362924
14 Jan 2032 07:09:58.699,-150430089.688465,700830601.066809,303998952.844135
14 Jan 2032 08:09:58.699,-150464997.087870,700785740.039242,303979287.567283
14 Jan 2032 09:09:58.699,-150498526.607213,700741246.152292,303959822.328791
14 Jan 2032 10:09:58.699,-150530694.708497,700697164.888035,303940578.648105
14 Jan 2032 11:09:58.699,-150561519.695208,700653541.155824,303921577.738142
14 Jan 2032 12:09:58.699,-150591021.686070,700610419.230333,303902840.476040
14 Jan 2032 13:09:58.699,-150619222.587311,700567842.691445,303884387.374820
14 Jan 2032 14:09:58.699,-150646146.060239,700525854.361802,303866238.554016
14 Jan 2032 15:09:58.699,-150671817.490500,700484496.249513,303848413.712726
14 Jan 2032 16:09:58.699,-150696263.952967,700443809.490534,303830932.102593
14 Jan 2032 17:09:58.699,-150719514.174609,700403834.291618,303813812.501088
14 Jan 2032 18:09:58.699,-150741598.495535,700364609.876446,303797073.186353
14 Jan 2032 19:09:58.699,-150762548.826947,700326174.433878,303780731.913121
14 Jan 2032 20:09:58.699,-150782398.605968,700288565.067699,303764805.889402
14 Jan 2032 21:09:58.699,-150801182.747829,700251817.747641,303749311.753848
14 Jan 2032 22:09:58.699,-150818937.595887,700215967.261668,303734265.553745
14 Jan 2032 23:09:58.699,-150835700.869859,700181047.169612,303719682.723694
15 Jan 2032 00:09:58.699,-150851511.612512,700147089.758355,303705578.065050
15 Jan 2032 01:09:58.699,-150866410.134885,700114125.998700,303691965.726202
15 Jan 2032 02:09:58.699,-150880437.960106,700082185.504086,303678859.183754
15 Jan 2032 03:09:58.699,-150893637.765795,700051296.491253,303666271.224666
15 Jan 2032 04:09:58.699,-150906053.325066,700021485.742935,303654213.929394
15 Jan 2032 05:09:58.699,-150917729.446176,699992778.572646,303642698.656049
15 Jan 2032 06:09:58.699,-150928711.910865,699965198.791577,303631736.025604
