"Time (UTCG)","x (km)","y (km)","z (km)"
26 Oct 2030 10:09:58.699,335388822.102723,671343191.936514,279589700.422197
26 Oct 2030 11:09:58.699,335346636.697826,671358926.436745,279597471.496980
26 Oct 2030 12:09:58.699,335304450.487823,671374658.546230,279605241.573850
26 Oct 2030 13:09:58.699,335262263.496434,671390388.315720,279613010.677337
26 Oct 2030 14:09:58.699,335220075.738608,671406115.798408,279620778.832983
26 Oct 2030 15:09:58.699,335177887.220251,671421841.048768,279628546.066785
26 Oct 2030 16:09:58.699,335135697.938171,671437564.121360,279636312.404629
26 Oct 2030 17:09:58.699,335093507.880175,671453285.069650,279644077.871729
26 Oct 2030 18:09:58.699,335051317.025378,671469003.944849,279651842.492079
26 Oct 2030 19:09:58.699,335009125.344665,671484720.794806,279659606.287932
26 Oct 2030 20:09:58.699,334966932.801323,671500435.662964,279667369.279319
26 Oct 2030 21:09:58.699,334924739.351850,671516148.587408,279675131.483602
26 Oct 2030 22:09:58.699,334882544.946865,671531859.600019,279682892.915094
26 Oct 2030 23:09:58.699,334840349.532191,671547568.725745,279690653.584725
27 Oct 2030 00:09:58.699,334798153.050001,671563275.982015,279698413.499783
27 Oct 2030 01:09:58.699,334755955.440106,671578981.378282,279706172.663720
27 Oct 2030 02:09:58.699,334713756.641262,671594684.915776,279713931.076056
27 Oct 2030 03:09:58.699,334671556.592555,671610386.587398,279721688.732347
27 Oct 2030 04:09:58.699,334629355.234799,671626086.377807,279729445.624257
27 Oct 2030 05:09:58.699,334587152.511894,671641784.263716,279737201.739715
27 Oct 2030 06:09:58.699,334544948.372144,671657480.214361,279744957.063165
27 Oct 2030 07:09:58.699,334502742.769493,671673174.192168,279752711.575900
27 Oct 2030 08:09:58.699,334460535.664629,671688866.153584,279760465.256481
27 Oct 2030 09:09:58.699,334418327.025943,671704556.050072,279768218.081218
27 Oct 2030 10:09:58.699,334376116.830289,671720243.829230,279775970.024726
27 Oct 2030 11:09:58.699,334333905.063546,671735929.436015,279783721.060508
27 Oct 2030 12:09:58.699,334291691.720956,671751612.814027,279791471.161578
27 Oct 2030 13:09:58.699,334249476.807233,671767293.906836,279799220.301090
27 Oct 2030 14:09:58.699,334207260.336429,671782972.659297,279806968.452965
27 Oct 2030 15:09:58.699,334165042.331596,671798649.018839,279814715.592497
27 Oct 2030 16:09:58.699,334122822.824204,671814322.936674,279822461.696924
27 Oct 2030 17:09:58.699,334080601.853382,671829994.368919,279830206.745941
27 Oct 2030 18:09:58.699,334038379.464959,671845663.277586,279837950.722164
27 Oct 2030 19:09:58.699,333996155.710379,671861329.631431,279845693.611513
27 Oct 2030 20:09:58.699,333953930.645465,671876993.406626,279853435.403511
27 Oct 2030 21:09:58.699,333911704.329108,671892654.587268,279861176.091506
27 Oct 2030 22:09:58.699,333869476.821897,671908313.165680,279868915.672793
27 Oct 2030 23:09:58.699,333827248.184717,671923969.142536,279876654.148646
28 Oct 2030 00:09:58.699,333785018.477359,671939622.526779,279884391.524263
28 Oct 2030 01:09:58.699,333742787.757152,671955273.335364,279892127.808616
28 Oct 2030 02:09:58.699,333700556.077708,671970921.592806,279899863.014218
28 Oct 2030 03:09:58.699,333658323.487729,671986567.330591,279907597.156823
28 Oct 2030 04:09:58.699,333616090.029964,672002210.586441,279915330.255059
28 Oct 2030 05:09:58.699,333573855.740270,672017851.403441,279923062.329997
28 Oct 2030 06:09:58.699,333531620.646845,672033489.829075,279930793.404680
28 Oct 2030 07:09:58.699,333489384.769629,672049125.914181,279938523.503617
28 Oct 2030 08:09:58.699,333447148.119864,672064759.711847,279946252.652246
28 Oct 2030 09:09:58.699,333404910.699826,672080391.276265,279953980.876391
28 Oct 2030 10:09:58.699,333362672.502733,672096020.661561,279961708.201697
28 Oct 2030 11:09:58.699,333320433.512825,672111647.920622,279969434.653080
28 Oct 2030 12:09:58.699,333278193.705629,672127273.103936,279977160.254172
28 Oct 2030 13:09:58.699,333235953.048395,672142896.258467,279984885.026797
28 Oct 2030 14:09:58.699,333193711.500700,672158517.426592,279992608.990474
28 Oct 2030 15:09:58.699,333151469.015229,672174136.645106,280000332.161957
28 Oct 2030 16:09:58.699,333109225.538702,672189753.944336,280008054.554827
28 Oct 2030 17:09:58.699,333066981.012944,672205369.347368,280015776.179144
28 Oct 2030 18:09:58.699,333024735.376074,672220982.869414,280023497.041161
28 Oct 2030 19:09:58.699,332982488.563801,672236594.517336,280031217.143125
28 Oct 2030 20:09:58.699,332940240.510793,672252204.289344,280038936.483148
28 Oct 2030 21:09:58.699,332897991.152084,672267812.174874,280046655.055177
28 Oct 2030 22:09:58.699,332855740.424512,672283418.154660,280054372.849050
28 Oct 2030 23:09:58.699,332813488.268132,672299022.200995,280062089.850644
29 Oct 2030 00:09:58.699,332771234.627573,672314624.278185,280069806.042112
29 Oct 2030 01:09:58.699,332728979.453340,672330224.343165,280077521.402196
29 Oct 2030 02:09:58.699,332686722.702970,672345822.346323,280085235.906643
29 Oct 2030 03:09:58.699,332644464.342095,672361418.232465,280092949.528673
29 Oct 2030 04:09:58.699,332602204.345305,672377011.941939,280100662.239538
29 Oct 2030 05:09:58.699,332559942.696816,672392603.411847,280108374.009101
29 Oct 2030 06:09:58.699,332517679.390924,672408192.577369,280116084.806477
29 Oct 2030 07:09:58.699,332475414.432241,672423779.373130,280123794.600689
29 Oct 2030 08:09:58.699,332433147.835678,672439363.734608,280131503.361330
29 Oct 2030 09:09:58.699,332390879.626195,672454945.599507,280139211.059222
29 Oct 2030 10:09:58.699,332348609.838300,672470524.909084,280146917.667031
29 Oct 2030 11:09:58.699,332306338.515340,672486101.609385,280154623.159847
29 Oct 2030 12:09:58.699,332264065.708584,672501675.652356,280162327.515696
29 Oct 2030 13:09:58.699,332221791.476145,672517246.996814,280170030.715985
29 Oct 2030 14:09:58.699,332179515.881760,672532815.609247,280177732.745862
29 Oct 2030 15:09:58.699,332137238.993465,672548381.464436,280185433.594489
29 Oct 2030 16:09:58.699,332094960.882200,672563944.545886,280193133.255225
29 Oct 2030 17:09:58.699,332052681.620381,672579504.846061,280200831.725717
29 Oct 2030 18:09:58.699,332010401.280458,672595062.366433,280208529.007893
29 Oct 2030 19:09:58.699,331968119.933507,672610617.117337,280216225.107875
29 Oct 2030 20:09:58.699,331925837.647870,672626169.117660,280223920.035807
29 Oct 2030 21:09:58.699,331883554.487875,672641718.394350,280231613.805600
29 Oct 2030 22:09:58.699,331841270.512653,672657264.981797,280239306.434616
29 Oct 2030 23:09:58.699,331798985.775080,672672808.921058,280246997.943284
30 Oct 2030 00:09:58.699,331756700.320845,672688350.258961,280254688.354659
30 Oct 2030 01:09:58.699,331714414.187673,672703889.047090,280262377.693923
30 Oct 2030 02:09:58.699,331672127.404735,672719425.340724,280270065.987873
30 Oct 2030 03:09:58.699,331629839.992214,672734959.197692,280277753.264367
30 Oct 2030 04:09:58.699,331587551.961060,672750490.677210,280285439.551770
30 Oct 2030 05:09:58.699,331545263.312924,672766019.838671,280293124.878374
30 Oct 2030 06:09:58.699,331502974.040277,672781546.740461,280300809.271835
30 Oct 2030 07:09:58.699,331460684.126708,672797071.438802,280308492.758633
30 Oct 2030 08:09:58.699,331418393.547408,672812593.986648,280316175.363549
30 Oct 2030 09:09:58.699,331376102.269791,672828114.432644,280323857.109185
30 Oct 2030 10:09:58.699,331333810.254294,672843632.820169,280331538.015516
30 Oct 2030 11:09:58.699,331291517.455304,672859149.186481,280339218.099502
30 Oct 2030 12:09:58.699,331249223.822221,672874663.561980,280346897.374758
30 Oct 2030 13:09:58.699,331206929.300632,672890175.969619,280354575.851285
30 Oct 2030 14:09:58.699,331164633.833588,672905686.424458,280362253.535284
30 Oct 2030 15:09:58.699,331122337.362932,672921194.933398,280369930.429056
30 Oct 2030 16:09:58.699,331080039.830691,672936701.495097,280377606.530974
30 Oct 2030 17:09:58.699,331037741.180462,672952206.100064,280385281.835562
30 Oct 2030 18:09:58.699,330995441.358787,672967708.730963,280392956.333654
30 Oct 2030 19:09:58.699,330953140.316463,672983209.363099,280400630.012652
30 Oct 2030 20:09:58.699,330910838.009768,672998707.965090,280408302.856864
30 Oct 2030 21:09:58.699,330868534.401539,673014204.499719,280415974.847931
30 Oct 2030 22:09:58.699,330826229.462109,673029698.924934,280423645.965311
30 Oct 2030 23:09:58.699,330783923.170047,673045191.194977,280431316.186837
