"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
13 Feb 2032 01:57:26.810,13 Feb 2032 01:57:30.378,13 Feb 2032 02:42:36.631,13 Feb 2032 02:42:38.713,"Jupiter",2711.904,100.000000,13 Feb 2032 01:57:30.378
15 Feb 2032 23:57:26.887,15 Feb 2032 23:57:30.407,16 Feb 2032 00:42:27.610,16 Feb 2032 00:42:29.686,"Jupiter",2702.799,100.000000,15 Feb 2032 23:57:30.407
18 Feb 2032 21:57:26.722,18 Feb 2032 21:57:30.188,18 Feb 2032 22:42:18.566,18 Feb 2032 22:42:20.641,"Jupiter",2693.919,100.000000,18 Feb 2032 21:57:30.188
21 Feb 2032 19:57:26.306,21 Feb 2032 19:57:29.723,21 Feb 2032 20:42:09.513,21 Feb 2032 20:42:11.586,"Jupiter",2685.280,100.000000,21 Feb 2032 19:57:29.723
24 Feb 2032 17:57:25.651,24 Feb 2032 17:57:29.019,24 Feb 2032 18:42:00.449,24 Feb 2032 18:42:02.520,"Jupiter",2676.869,100.000000,24 Feb 2032 17:57:29.019
27 Feb 2032 15:57:24.748,27 Feb 2032 15:57:28.072,27 Feb 2032 16:41:51.387,27 Feb 2032 16:41:53.458,"Jupiter",2668.710,100.000000,27 Feb 2032 15:57:28.072
1 Mar 2032 13:57:23.605,1 Mar 2032 13:57:26.881,1 Mar 2032 14:41:42.336,1 Mar 2032 14:41:44.406,"Jupiter",2660.801,100.000000,1 Mar 2032 13:57:26.881
4 Mar 2032 11:57:22.227,4 Mar 2032 11:57:25.457,4 Mar 2032 12:41:33.292,4 Mar 2032 12:41:35.368,"Jupiter",2653.141,100.000000,4 Mar 2032 11:57:25.457
7 Mar 2032 09:57:20.606,7 Mar 2032 09:57:23.793,7 Mar 2032 10:41:24.272,7 Mar 2032 10:41:26.345,"Jupiter",2645.739,100.000000,7 Mar 2032 09:57:23.793
10 Mar 2032 07:57:18.755,10 Mar 2032 07:57:21.900,10 Mar 2032 08:41:15.277,10 Mar 2032 08:41:17.354,"Jupiter",2638.599,100.000000,10 Mar 2032 07:57:21.900
13 Mar 2032 05:57:16.671,13 Mar 2032 05:57:19.772,13 Mar 2032 06:41:06.314,13 Mar 2032 06:41:08.392,"Jupiter",2631.721,100.000000,13 Mar 2032 05:57:19.772
16 Mar 2032 03:57:14.356,16 Mar 2032 03:57:17.420,16 Mar 2032 04:40:57.389,16 Mar 2032 04:40:59.470,"Jupiter",2625.115,100.000000,16 Mar 2032 03:57:17.420
19 Mar 2032 01:57:11.812,19 Mar 2032 01:57:14.837,19 Mar 2032 02:40:48.510,19 Mar 2032 02:40:50.595,"Jupiter",2618.783,100.000000,19 Mar 2032 01:57:14.837
21 Mar 2032 23:57:09.045,21 Mar 2032 23:57:12.032,22 Mar 2032 00:40:39.676,22 Mar 2032 00:40:41.769,"Jupiter",2612.724,100.000000,21 Mar 2032 23:57:12.032
24 Mar 2032 21:57:06.061,24 Mar 2032 21:57:09.011,24 Mar 2032 22:40:30.901,24 Mar 2032 22:40:32.996,"Jupiter",2606.936,100.000000,24 Mar 2032 21:57:09.011
27 Mar 2032 19:57:02.854,27 Mar 2032 19:57:05.771,27 Mar 2032 20:40:22.185,27 Mar 2032 20:40:24.286,"Jupiter",2601.432,100.000000,27 Mar 2032 19:57:05.771
30 Mar 2032 17:56:59.434,30 Mar 2032 17:57:02.314,30 Mar 2032 18:40:13.532,30 Mar 2032 18:40:15.639,"Jupiter",2596.205,100.000000,30 Mar 2032 17:57:02.314
2 Apr 2032 15:56:55.803,2 Apr 2032 15:56:58.649,2 Apr 2032 16:40:04.955,2 Apr 2032 16:40:07.069,"Jupiter",2591.266,100.000000,2 Apr 2032 15:56:58.649
5 Apr 2032 13:56:51.963,5 Apr 2032 13:56:54.776,5 Apr 2032 14:39:56.449,5 Apr 2032 14:39:58.571,"Jupiter",2586.608,100.000000,5 Apr 2032 13:56:54.776
8 Apr 2032 11:56:47.918,8 Apr 2032 11:56:50.699,8 Apr 2032 12:39:48.028,8 Apr 2032 12:39:50.159,"Jupiter",2582.240,100.000000,8 Apr 2032 11:56:50.699
11 Apr 2032 09:56:43.672,11 Apr 2032 09:56:46.424,11 Apr 2032 10:39:39.696,11 Apr 2032 10:39:41.835,"Jupiter",2578.164,100.000000,11 Apr 2032 09:56:46.424
14 Apr 2032 07:56:39.227,14 Apr 2032 07:56:41.949,14 Apr 2032 08:39:31.454,14 Apr 2032 08:39:33.600,"Jupiter",2574.373,100.000000,14 Apr 2032 07:56:41.949
