"Time (UTCG)","x (km)","y (km)","z (km)"
13 Apr 2032 03:09:58.699,-246391858.327787,672639839.146816,294324749.476646
13 Apr 2032 04:09:58.699,-246483583.069038,672612832.234051,294313209.838304
13 Apr 2032 05:09:58.699,-246574265.462749,672582694.965584,294300219.080717
13 Apr 2032 06:09:58.699,-246663658.912192,672549505.438302,294285816.907179
13 Apr 2032 07:09:58.699,-246751524.094270,672513357.404248,294270050.252111
13 Apr 2032 08:09:58.699,-246837630.108027,672474359.729051,294252973.012886
13 Apr 2032 09:09:58.699,-246921755.576496,672432635.791189,294234645.754604
13 Apr 2032 10:09:58.699,-247003689.697635,672388322.821304,294215135.387457
13 Apr 2032 11:09:58.699,-247083233.244314,672341571.182865,294194514.817181
13 Apr 2032 12:09:58.699,-247160199.515046,672292543.601208,294172862.571875
13 Apr 2032 13:09:58.699,-247234415.233632,672241414.350234,294150262.409659
13 Apr 2032 14:09:58.699,-247305721.389753,672188368.402630,294126802.910213
13 Apr 2032 15:09:58.699,-247373974.008853,672133600.543181,294102577.050252
13 Apr 2032 16:09:58.699,-247439044.842526,672077314.439933,294077681.760562
13 Apr 2032 17:09:58.699,-247500821.978757,672019721.668103,294052217.462039
13 Apr 2032 18:09:58.699,-247559210.379906,671961040.686791,294026287.580393
13 Apr 2032 19:09:58.699,-247614132.358426,671901495.775489,293999998.042520
13 Apr 2032 20:09:58.699,-247665527.992838,671841315.941171,293973456.759627
13 Apr 2032 21:09:58.699,-247713355.474168,671780733.804458,293946773.101483
13 Apr 2032 22:09:58.699,-247757591.369624,671719984.466703,293920057.363013
13 Apr 2032 23:09:58.699,-247798230.811738,671659304.356399,293893420.222077
14 Apr 2032 00:09:58.699,-247835287.650907,671598930.062435,293866972.190723
14 Apr 2032 01:09:58.699,-247868794.392388,671539097.157698,293840823.067400
14 Apr 2032 02:09:58.699,-247898802.221558,671480039.010045,293815081.378538
14 Apr 2032 03:09:58.699,-247925380.812699,671421985.593461,293789853.825661
14 Apr 2032 04:09:58.699,-247948618.098329,671365162.298781,293765244.731766
14 Apr 2032 05:09:58.699,-247968619.939152,671309788.750846,293741355.492156
14 Apr 2032 06:09:58.699,-247985509.701738,671256077.637320,293718284.031920
14 Apr 2032 07:09:58.699,-247999427.743154,671204233.554924,293696124.272751
14 Apr 2032 08:09:58.699,-248010530.802170,671154451.879185,293674965.611969
14 Apr 2032 09:09:58.699,-248018991.297120,671106917.664063,293654892.416714
14 Apr 2032 10:09:58.699,-248024996.531053,671061804.578087,293635983.536417
14 Apr 2032 11:09:58.699,-248028747.805389,671019273.883872,293618311.836732
14 Apr 2032 12:09:58.699,-248030459.444017,670979473.468015,293601943.758194
14 Apr 2032 13:09:58.699,-248030357.730419,670942536.928526,293586938.902905
14 Apr 2032 14:09:58.699,-248028679.761268,670908582.726968,293573349.652569
14 Apr 2032 15:09:58.699,-248025672.220689,670877713.412439,293561220.821154
14 Apr 2032 16:09:58.699,-248021590.080292,670850014.924441,293550589.345413
14 Apr 2032 17:09:58.699,-248016695.230898,670825555.981427,293541484.016370
14 Apr 2032 18:09:58.699,-248011255.052789,670804387.561525,293533925.254710
14 Apr 2032 19:09:58.699,-248005540.932166,670786542.481510,293527924.932836
14 Apr 2032 20:09:58.699,-247999826.732328,670772035.079561,293523486.246051
14 Apr 2032 21:09:58.699,-247994387.228894,670760861.006725,293520603.635071
14 Apr 2032 22:09:58.699,-247989496.519095,670752997.131246,293519262.761662
14 Apr 2032 23:09:58.699,-247985426.415846,670748401.559102,293519440.538849
15 Apr 2032 00:09:58.699,-247982444.837804,670747013.773163,293521105.216672
15 Apr 2032 01:09:58.699,-247980814.207135,670748754.892359,293524216.523985
15 Apr 2032 02:09:58.699,-247980789.866948,670753528.051203,293528725.866315
15 Apr 2032 03:09:58.699,-247982618.530539,670761218.898860,293534576.579240
15 Apr 2032 04:09:58.699,-247986536.774663,670771696.215817,293541704.236223
15 Apr 2032 05:09:58.699,-247992769.588826,670784812.645016,293550037.009282
15 Apr 2032 06:09:58.699,-248001528.992346,670800405.533170,293559496.080331
15 Apr 2032 07:09:58.699,-248013012.730464,670818297.876799,293569996.100510
15 Apr 2032 08:09:58.699,-248027403.060143,670838299.366472,293581445.694309
15 Apr 2032 09:09:58.699,-248044865.635456,670860207.521698,293593748.004816
15 Apr 2032 10:09:58.699,-248065548.501537,670883808.907948,293606801.276010
15 Apr 2032 11:09:58.699,-248089581.205048,670908880.426482,293620499.467618
15 Apr 2032 12:09:58.699,-248117074.027981,670935190.666926,293634732.897743
15 Apr 2032 13:09:58.699,-248148117.350380,670962501.311965,293649388.908230
15 Apr 2032 14:09:58.699,-248182781.146284,670990568.583056,293664352.547507
15 Apr 2032 15:09:58.699,-248221114.615875,671019144.715800,293679507.265563
15 Apr 2032 16:09:58.699,-248263145.955439,671047979.453440,293694735.615638
15 Apr 2032 17:09:58.699,-248308882.265432,671076821.546978,293709919.957235
15 Apr 2032 18:09:58.699,-248358309.595600,671105420.250546,293724943.155158
15 Apr 2032 19:09:58.699,-248411393.124871,671133526.800959,293739689.269426
15 Apr 2032 20:09:58.699,-248468077.472492,671160895.870813,293754044.231120
15 Apr 2032 21:09:58.699,-248528287.135835,671187286.984999,293767896.499496
15 Apr 2032 22:09:58.699,-248591927.049232,671212465.891187,293781137.696009
15 Apr 2032 23:09:58.699,-248658883.257360,671236205.875528,293793663.211241
16 Apr 2032 00:09:58.699,-248729023.695858,671258289.015638,293805372.781110
16 Apr 2032 01:09:58.699,-248802199.071370,671278507.363789,293816171.029153
16 Apr 2032 02:09:58.699,-248878243.832308,671296664.054049,293825967.972066
16 Apr 2032 03:09:58.699,-248956977.222029,671312574.328182,293834679.486180
16 Apr 2032 04:09:58.699,-249038204.404777,671326066.475783,293842227.732876
16 Apr 2032 05:09:58.699,-249121717.655602,671336982.685233,293848541.541458
16 Apr 2032 06:09:58.699,-249207297.604910,671345179.802805,293853556.748361
16 Apr 2032 07:09:58.699,-249294714.528504,671350529.998113,293857216.491947
16 Apr 2032 08:09:58.699,-249383729.674159,671352921.334854,293859471.462530
16 Apr 2032 09:09:58.699,-249474096.616056,671352258.246542,293860280.107598
16 Apr 2032 10:09:58.699,-249565562.628674,671348461.917558,293859608.792480
16 Apr 2032 11:09:58.699,-249657870.072161,671341470.570444,293857431.917005
16 Apr 2032 12:09:58.699,-249750757.781547,671331239.660879,293853731.988927
16 Apr 2032 13:09:58.699,-249843962.452748,671317741.982233,293848499.655074
16 Apr 2032 14:09:58.699,-249937220.018618,671300967.681944,293841733.691387
16 Apr 2032 15:09:58.699,-250030267.008893,671280924.192312,293833440.953113
16 Apr 2032 16:09:58.699,-250122841.888291,671257636.078493,293823636.286548
16 Apr 2032 17:09:58.699,-250214686.367472,671231144.806690,293812342.403790
16 Apr 2032 18:09:58.699,-250305546.682095,671201508.435631,293799589.722011
16 Apr 2032 19:09:58.699,-250395174.835574,671168801.234495,293785416.168777
16 Apr 2032 20:09:58.699,-250483329.801627,671133113.230418,293769866.954934
16 Apr 2032 21:09:58.699,-250569778.683312,671094549.688726,293752994.316559
16 Apr 2032 22:09:58.699,-250654297.825902,671053230.529049,293734857.227471
16 Apr 2032 23:09:58.699,-250736673.881993,671009289.680692,293715521.083871
17 Apr 2032 00:09:58.699,-250816704.828541,670962874.381058,293695057.362859
17 Apr 2032 01:09:58.699,-250894200.933066,670914144.425275,293673543.258767
17 Apr 2032 02:09:58.699,-250968985.676277,670863271.367142,293651061.297010
17 Apr 2032 03:09:58.699,-251040896.600735,670810437.691007,293627698.935954
17 Apr 2032 04:09:58.699,-251109786.097296,670755835.936320,293603548.147395
17 Apr 2032 05:09:58.699,-251175522.106417,670699667.778366,293578704.978059
17 Apr 2032 06:09:58.699,-251237988.743741,670642143.055761,293553269.087109
17 Apr 2032 07:09:58.699,-251297086.863103,670583478.750472,293527343.261931
17 Apr 2032 08:09:58.699,-251352734.559095,670523897.931620,293501032.917490
17 Apr 2032 09:09:58.699,-251404867.605441,670463628.671132,293474445.583243
17 Apr 2032 10:09:58.699,-251453439.823440,670402902.935667,293447690.379822
17 Apr 2032 11:09:58.699,-251498423.375241,670341955.457136,293420877.486706
17 Apr 2032 12:09:58.699,-251539808.977954,670281022.583911,293394117.601922
17 Apr 2032 13:09:58.699,-251577606.035687,670220341.115356,293367521.395028
17 Apr 2032 14:09:58.699,-251611842.687345,670160147.123023,293341198.954947
17 Apr 2032 15:09:58.699,-251642565.768160,670100674.762448,293315259.234541
