"Time (UTCG)","x (km)","y (km)","z (km)"
31 Jul 2030 22:09:58.699,420770861.257830,633973790.516800,261513238.784139
31 Jul 2030 23:09:58.699,420719483.471171,634049608.877039,261549133.184067
1 Aug 2030 00:09:58.699,420659205.864207,634123285.120012,261583860.774126
1 Aug 2030 01:09:58.699,420590488.851637,634193665.042352,261616879.852116
1 Aug 2030 02:09:58.699,420513972.538143,634259667.907172,261647686.658452
1 Aug 2030 03:09:58.699,420430462.481957,634320308.762748,261675825.762602
1 Aug 2030 04:09:58.699,420340912.270131,634374718.660140,261700899.396719
1 Aug 2030 05:09:58.699,420246403.268421,634422162.438644,261722575.584911
1 Aug 2030 06:09:58.699,420148121.936475,634462053.791848,261740594.937899
1 Aug 2030 07:09:58.699,420047335.122947,634493967.369140,261754776.003270
1 Aug 2030 08:09:58.699,419945363.776784,634517647.708210,261765019.081248
1 Aug 2030 09:09:58.699,419843555.531016,634533014.834283,261771308.435336
1 Aug 2030 10:09:58.699,419743256.634970,634540166.402508,261773712.846944
1 Aug 2030 11:09:58.699,419645783.729734,634539376.303260,261772384.483965
1 Aug 2030 12:09:58.699,419552395.980332,634531089.698322,261767556.076588
1 Aug 2030 13:09:58.699,419464268.098177,634515914.512896,261759536.421122
1 Aug 2030 14:09:58.699,419382464.789587,634494609.468413,261748704.260905
1 Aug 2030 15:09:58.699,419307917.179904,634468068.793317,261735500.619240
1 Aug 2030 16:09:58.699,419241401.750021,634437303.856338,261720419.708895
1 Aug 2030 17:09:58.699,419183522.304457,634403422.004146,261703998.561447
1 Aug 2030 18:09:58.699,419134695.452262,634367602.985615,261686805.566288
1 Aug 2030 19:09:58.699,419095140.029961,634331073.423159,261669428.145391
1 Aug 2030 20:09:58.699,419064870.824364,634295079.860656,261652459.821837
1 Aug 2030 21:09:58.699,419043696.862664,634260860.983143,261636486.969839
1 Aug 2030 22:09:58.699,419031224.430168,634229619.658044,261622075.558192
1 Aug 2030 23:09:58.699,419026864.855027,634202495.484800,261609758.214643
2 Aug 2030 00:09:58.699,419029846.968024,634180538.554956,261600021.943706
2 Aug 2030 01:09:58.699,419039234.008409,634164685.115053,261593296.823587
2 Aug 2030 02:09:58.699,419053944.608980,634155735.788712,261589945.988529
2 Aug 2030 03:09:58.699,419072777.361057,634154336.952515,261590257.171394
2 Aug 2030 04:09:58.699,419094438.339431,634160965.774504,261594436.038590
2 Aug 2030 05:09:58.699,419117570.866093,634175919.317975,261602601.497254
2 Aug 2030 06:09:58.699,419140786.718061,634199307.992352,261614783.095768
2 Aug 2030 07:09:58.699,419162697.955461,634231053.508241,261630920.578134
2 Aug 2030 08:09:58.699,419181948.542683,634270891.341749,261650865.581108
2 Aug 2030 09:09:58.699,419197244.963808,634318377.577283,261674385.398302
2 Aug 2030 10:09:58.699,419207385.072928,634372899.890152,261701168.685227
2 Aug 2030 11:09:58.699,419211284.506497,634433692.301709,261730832.919369
2 Aug 2030 12:09:58.699,419208000.071956,634499853.264173,261762933.394869
2 Aug 2030 13:09:58.699,419196749.632598,634570366.564199,261796973.500679
2 Aug 2030 14:09:58.699,419176928.123017,634644124.484643,261832416.009377
2 Aug 2030 15:09:58.699,419148119.443598,634719952.638011,261868695.093329
2 Aug 2030 16:09:58.699,419110104.092285,634796635.879062,261905228.783833
2 Aug 2030 17:09:58.699,419062862.494118,634872944.714037,261941431.595364
2 Aug 2030 18:09:58.699,419006574.081396,634947661.646941,261976727.049456
2 Aug 2030 19:09:58.699,418941612.258305,635019606.935908,262010559.849645
2 Aug 2030 20:09:58.699,418868535.452828,635087663.272016,262042407.478747
2 Aug 2030 21:09:58.699,418788074.515744,635150798.936756,262071791.011562
2 Aug 2030 22:09:58.699,418701116.772767,635208089.039977,262098284.958552
2 Aug 2030 23:09:58.699,418608687.072964,635258734.485842,262121525.978453
3 Aug 2030 00:09:58.699,418511926.207969,635302078.357833,262141220.318952
3 Aug 2030 01:09:58.699,418412067.108111,635337619.449291,262157149.862004
3 Aug 2030 02:09:58.699,418310409.237420,635365022.723690,262169176.678064
3 Aug 2030 03:09:58.699,418208291.629301,635384126.505451,262177246.001746
3 Aug 2030 04:09:58.699,418107065.043501,635394946.267552,262181387.573223
3 Aug 2030 05:09:58.699,418008063.722025,635397674.906154,262181715.301044
3 Aug 2030 06:09:58.699,417912577.254694,635392679.447536,262178425.228764
3 Aug 2030 07:09:58.699,417821823.082416,635380494.184560,262171791.812842
3 Aug 2030 08:09:58.699,417736920.176652,635361810.295304,262162162.545758
3 Aug 2030 09:09:58.699,417658864.441083,635337462.060285,262149950.988820
3 Aug 2030 10:09:58.699,417588506.380763,635308409.865608,262135628.312841
3 Aug 2030 11:09:58.699,417526531.571392,635275720.255675,262119713.480986
3 Aug 2030 12:09:58.699,417473444.433494,635240543.378749,262102762.245546
3 Aug 2030 13:09:58.699,417429555.771007,635204088.248758,262085355.167736
3 Aug 2030 14:09:58.699,417394974.470105,635167596.324225,262068084.905481
3 Aug 2030 15:09:58.699,417369603.671721,635132313.976343,262051543.046615
3 Aug 2030 16:09:58.699,417353141.630811,635099464.478790,262036306.792100
3 Aug 2030 17:09:58.699,417345087.358832,635070220.197197,262022925.813510
3 Aug 2030 18:09:58.699,417344751.015697,635045675.680800,262011909.618575
3 Aug 2030 19:09:58.699,417351268.870476,635026822.350098,262003715.752004
3 Aug 2030 20:09:58.699,417363622.534830,635014525.470510,261998739.155089
3 Aug 2030 21:09:58.699,417380661.995535,635009504.027290,261997302.969033
3 Aug 2030 22:09:58.699,417401131.900847,635012314.059167,261999651.038310
3 Aug 2030 23:09:58.699,417423700.403376,635023335.898802,262005942.315739
4 Aug 2030 00:09:58.699,417446989.804558,635042765.654586,262016247.315984
4 Aug 2030 01:09:58.699,417469608.194778,635070611.138918,262030546.701765
4 Aug 2030 02:09:58.699,417490181.258218,635106692.310856,262048732.021342
4 Aug 2030 03:09:58.699,417507383.422700,635150646.165388,262070608.551446
4 Aug 2030 04:09:58.699,417519967.576408,635201935.873973,262095900.139795
4 Aug 2030 05:09:58.699,417526792.639904,635259863.866518,262124255.887957
4 Aug 2030 06:09:58.699,417526848.368041,635323588.447903,262155258.470540
4 Aug 2030 07:09:58.699,417519276.856712,635392143.464733,262188433.851503
4 Aug 2030 08:09:58.699,417503390.338983,635464460.481979,262223262.133553
4 Aug 2030 09:09:58.699,417478684.968738,635539392.894602,262259189.261996
4 Aug 2030 10:09:58.699,417444850.402764,635615741.384812,262295639.299425
4 Aug 2030 11:09:58.699,417401775.099248,635692280.139445,262332026.991221
4 Aug 2030 12:09:58.699,417349547.346721,635767783.259390,262367770.351741
4 Aug 2030 13:09:58.699,417288452.109399,635841050.816697,262402303.013517
4 Aug 2030 14:09:58.699,417218963.877845,635910934.060029,262435086.104970
4 Aug 2030 15:09:58.699,417141735.741272,635976359.308633,262465619.441348
4 Aug 2030 16:09:58.699,417057584.973984,636036350.109536,262493451.831349
4 Aug 2030 17:09:58.699,416967475.455752,636090047.291470,262518190.330281
4 Aug 2030 18:09:58.699,416872497.284862,636136726.584051,262539508.287944
4 Aug 2030 19:09:58.699,416773843.971556,636175813.512633,262557152.059841
4 Aug 2030 20:09:58.699,416672787.623722,636206895.321995,262570946.271059
4 Aug 2030 21:09:58.699,416570652.559948,636229729.721845,262580797.541497
4 Aug 2030 22:09:58.699,416468787.807491,636244250.286739,262586696.600349
4 Aug 2030 23:09:58.699,416368538.964786,636250568.384417,262588718.737825
5 Aug 2030 00:09:58.699,416271219.929397,636248971.551573,262587022.563859
5 Aug 2030 01:09:58.699,416178085.011449,636239918.285894,262581847.067587
5 Aug 2030 02:09:58.699,416090301.968964,636224029.278828,262573506.998118
5 Aug 2030 03:09:58.699,416008926.512235,636202075.175236,262562386.616684
5 Aug 2030 04:09:58.699,415934878.828074,636174961.014119,262548931.902641
5 Aug 2030 05:09:58.699,415868922.667572,636143707.578331,262533641.330840
5 Aug 2030 06:09:58.699,415811647.520056,636109429.960409,262517055.375145
5 Aug 2030 07:09:58.699,415763454.354211,636073313.737293,262499744.933191
5 Aug 2030 08:09:58.699,415724545.358383,636036589.218417,262482298.899907
5 Aug 2030 09:09:58.699,415694918.036460,636000504.310388,262465311.155803
5 Aug 2030 10:09:58.699,415674363.912651,635966296.613918,262449367.265122
5 Aug 2030 11:09:58.699,415662472.003420,635935165.408791,262435031.200078
5 Aug 2030 12:09:58.699,415658637.074277,635908244.223257,262422832.422726
5 Aug 2030 13:09:58.699,415662072.572087,635886574.697312,262413253.659745
5 Aug 2030 14:09:58.699,415671827.986707,635871082.433089,262406719.696013
5 Aug 2030 15:09:58.699,415686810.253601,635862555.483858,262403587.490779
5 Aug 2030 16:09:58.699,415705808.674180,635861626.066904,262404137.886562
